TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
BKN,01/08/2018,BKN vs. TOR,L,266,113,39,100,39,12,33,36.4,23,28,82.1,11,44,55,22,8,2,16,27,-1
BKN,01/06/2018,BKN vs. BOS,L,242,85,30,91,33,6,31,19.4,19,22,86.4,12,43,55,11,2,11,16,14,-2
BKN,01/03/2018,BKN vs. MIN,W,241,98,37,72,51.4,14,30,46.7,10,11,90.9,4,34,38,22,3,3,19,23,1
BKN,01/01/2018,BKN vs. ORL,W,240,98,36,82,43.9,9,25,36,17,23,73.9,10,42,52,17,7,10,13,22,3
BKN,12/31/2017,BKN @ BOS,L,240,105,39,95,41.1,11,36,30.6,16,19,84.2,11,34,45,25,5,4,9,19,-3
BKN,12/29/2017,BKN @ MIA,W,240,111,39,79,49.4,11,26,42.3,22,25,88,8,46,54,25,8,4,18,23,24
BKN,12/27/2017,BKN @ NOP,L,240,113,41,90,45.6,19,38,50,12,14,85.7,10,33,43,26,8,3,15,18,-15
BKN,12/26/2017,BKN @ SAS,L,240,97,39,93,41.9,12,32,37.5,7,9,77.8,12,33,45,23,5,0,13,18,-12
BKN,12/23/2017,BKN @ IND,L,265,119,42,98,42.9,16,36,44.4,19,25,76,18,33,51,24,2,2,10,20,-4
BKN,12/22/2017,BKN vs. WAS,W,241,119,44,88,50,14,41,34.1,17,21,81,13,47,60,29,4,4,14,17,35
BKN,12/20/2017,BKN vs. SAC,L,240,99,32,82,39,15,42,35.7,20,23,87,14,24,38,15,5,7,10,19,-5
BKN,12/17/2017,BKN vs. IND,L,239,97,34,81,42,12,33,36.4,17,21,81,7,22,29,26,7,2,9,17,-12
BKN,12/15/2017,BKN @ TOR,L,240,87,32,76,42.1,7,23,30.4,16,19,84.2,6,31,37,15,4,1,22,14,-33
BKN,12/14/2017,BKN vs. NYK,L,239,104,37,83,44.6,12,42,28.6,18,23,78.3,11,32,43,21,10,4,17,21,-7
BKN,12/12/2017,BKN vs. WAS,W,240,103,34,84,40.5,10,43,23.3,25,33,75.8,9,44,53,26,4,6,14,21,5
